film_id,titre,titre_normalise,genre_principal,nb_seances,nb_salles,lieux_ids,image_url,notes
F0136,Adieu monde cruel,adieu-monde-cruel,fiction,2,1,L141,,auto (2 séances / 1 salles)
F0137,Au-delà du réel,au-dela-du-reel,patrimoine_retro,2,1,L128,https://fr.web.img4.acsta.net/medias/nmedia/18/69/56/92/19067698.jpg,auto (2 séances / 1 salles)
F0138,Batman Begins,batman-begins,patrimoine_retro,2,2,L140|L144,https://fr.web.img3.acsta.net/pictures/22/10/04/08/52/2484953.jpg,auto (2 séances / 2 salles)
F0139,Belladonna,belladonna,animation_jeune_public,2,1,L131,https://fr.web.img3.acsta.net/pictures/16/04/28/15/16/259768.jpg,auto (2 séances / 1 salles)
F0140,Belladonna des tristesses (Kanashimi no Beradonna),belladonna-des-tristesses-kanashimi-no-beradonna,animation_jeune_public,2,1,L131,https://image.tmdb.org/t/p/w500/fN1HY3qaapQGAvsek7j4bMgOovs.jpg,auto (2 séances / 1 salles)
F0141,Chicas triste,chicas-triste,fiction,2,1,L148,,auto (2 séances / 1 salles)
F0142,Coup de coeur surprise 4 AFCAE Septembre 2026,coup-de-coeur-surprise-4-afcae-septembre-2026,fiction,2,2,L144|L147,https://fr.web.img2.acsta.net/pictures/23/09/15/11/38/1205557.jpg,auto (2 séances / 2 salles)
F0143,D'où vient le vent,dou-vient-le-vent,fiction,2,1,L143,https://fr.web.img3.acsta.net/img/a5/a2/a5a28fa7f4ca8d7f28d47fa38401fa55.jpg,auto (2 séances / 1 salles)
F0144,"Docteur Mabuse, le joueur",docteur-mabuse-le-joueur,patrimoine_retro,2,1,L131,https://fr.web.img5.acsta.net/medias/nmedia/18/36/03/99/18447444.jpg,auto (2 séances / 1 salles)
F0145,Du côté d'Orouët,du-cote-dorouet,patrimoine_retro,2,1,L128,https://fr.web.img5.acsta.net/img/00/f6/00f6157b78feb35c1200a0109a1268a5.jpg,auto (2 séances / 1 salles)
F0146,Fantastique,fantastique,documentaire,2,1,L128,https://fr.web.img6.acsta.net/img/c9/9f/c99f5b4c66554c2f06956555cb977547.jpg,auto (2 séances / 1 salles)
F0147,GHOST: 2 Big To Rig,ghost-2-big-to-rig,fiction,2,2,L137|L138,https://fr.web.img3.acsta.net/img/cb/98/cb98b59f1f3de43ccf019ac2056e8ea0.jpg,auto (2 séances / 2 salles)
F0148,Hamlet,hamlet,fiction,2,2,L137|L138,https://fr.web.img2.acsta.net/img/73/78/73787e7e2b5cc7201126b2eda82a1267.jpg,auto (2 séances / 2 salles)
F0149,House by the River,house-by-the-river,patrimoine_retro,2,1,L131,https://fr.web.img6.acsta.net/pictures/19/01/15/14/05/4162665.jpg,auto (2 séances / 1 salles)
F0150,Il est difficile d'être un dieu,il-est-difficile-detre-un-dieu,fiction,2,1,L128,https://fr.web.img3.acsta.net/pictures/15/01/20/16/29/153038.jpg,auto (2 séances / 1 salles)
F0151,Karma,karma,festival_avp,2,2,L138|L142,https://fr.web.img3.acsta.net/img/37/68/376899ecafee7d4b20b3e73f1944be34.jpg,auto (2 séances / 2 salles)
F0152,Katy Perry: The Lifetimes Tour - Live from Paris,katy-perry-the-lifetimes-tour-live-from-paris,fiction,2,2,L138|L139,https://fr.web.img6.acsta.net/img/eb/53/eb53d0663e53846152ba427d8e4bc918.jpg,auto (2 séances / 2 salles)
F0153,La Fille dans les nuages,la-fille-dans-les-nuages,animation_jeune_public,2,2,L143|L144,https://fr.web.img4.acsta.net/img/a6/9e/a69e4b47821ccc84f4ee63d57ffc5124.jpg,auto (2 séances / 2 salles)
F0154,La Grande rêvasion,la-grande-revasion,animation_jeune_public,2,1,L128,https://fr.web.img5.acsta.net/img/de/c0/dec0a9439dda983e4fab8fe508f525e0.jpg,auto (2 séances / 1 salles)
F0155,La Maison de nos rêves,la-maison-de-nos-reves,festival_avp,2,2,L138|L139,https://fr.web.img3.acsta.net/img/7f/e6/7fe6fefcab6e4951dac81cebd7c5e202.jpg,auto (2 séances / 2 salles)
F0156,La Pat’Patrouille : Mission Dino,la-patpatrouille-mission-dino,animation_jeune_public,2,1,L148,,auto (2 séances / 1 salles)
F0157,Le Dictateur,le-dictateur,patrimoine_retro,2,1,L131,https://fr.web.img6.acsta.net/pictures/19/06/24/15/19/0423711.jpg,auto (2 séances / 1 salles)
F0158,Le Dictateur (The Great Dictator),le-dictateur-the-great-dictator,patrimoine_retro,2,1,L131,https://fr.web.img6.acsta.net/pictures/19/06/24/15/19/0423711.jpg,auto (2 séances / 1 salles)
F0159,Le Quatuor à cornes,le-quatuor-a-cornes,animation_jeune_public,2,1,L144,https://fr.web.img2.acsta.net/pictures/18/07/23/16/02/2537326.jpg,auto (2 séances / 1 salles)
F0160,Le Roi du Game,le-roi-du-game,festival_avp,2,2,L138|L139,https://fr.web.img5.acsta.net/img/21/11/211184243b4ab7c37127ace9ced2e939.jpg,auto (2 séances / 2 salles)
F0161,Le Royaume des chats,le-royaume-des-chats,animation_jeune_public,2,1,L131,https://fr.web.img6.acsta.net/medias/nmedia/18/35/08/08/affiche.jpg,auto (2 séances / 1 salles)
F0162,Le Royaume des chats (Neko no ongaeshi),le-royaume-des-chats-neko-no-ongaeshi,animation_jeune_public,2,1,L131,https://fr.web.img6.acsta.net/medias/nmedia/18/35/08/08/affiche.jpg,auto (2 séances / 1 salles)
F0163,Le Tombeau des lucioles,le-tombeau-des-lucioles,animation_jeune_public,2,2,L126|L140,https://fr.web.img5.acsta.net/img/4c/e5/4ce5eb41dee26f90d52da68353d7d38b.jpg,auto (2 séances / 2 salles)
F0164,Les Caprices de l’Enfant Roi,les-caprices-de-lenfant-roi,fiction,2,1,L143,https://fr.web.img4.acsta.net/img/36/8f/368f8ae0d4f0928b0523eb6a5347576a.jpg,auto (2 séances / 1 salles)
F0165,Les Vacances de Monsieur Hulot,les-vacances-de-monsieur-hulot,patrimoine_retro,2,2,L126|L127,https://fr.web.img3.acsta.net/img/98/95/98957abe085b0f16eba3fa7291c77b58.jpg,auto (2 séances / 2 salles)
F0166,Les baleines bleues : le retour des géants,les-baleines-bleues-le-retour-des-geants,documentaire,2,1,L138,https://fr.web.img4.acsta.net/img/d2/c0/d2c0dbc44cf590682488c49d61655faa.jpg,auto (2 séances / 1 salles)
F0167,Lolita malgré moi,lolita-malgre-moi,patrimoine_retro,2,1,L131,https://fr.web.img4.acsta.net/img/40/80/4080aa6749107ac45e4fcd4f90218293.jpg,auto (2 séances / 1 salles)
F0168,Lolita malgré moi (Mean Girls),lolita-malgre-moi-mean-girls,fiction,2,1,L131,https://fr.web.img4.acsta.net/img/40/80/4080aa6749107ac45e4fcd4f90218293.jpg,auto (2 séances / 1 salles)
F0169,M le maudit (M – Eine Stadt sucht einen Mörder),m-le-maudit-m-eine-stadt-sucht-einen-morder,patrimoine_retro,2,1,L131,"https://res.cloudinary.com/ct-cloudinary/image/upload/c_fill,dpr_2.0,f_auto,g_north_west,h_122,q_80,w_185/cinematheque_de_toulouse_logo",auto (2 séances / 1 salles)
F0170,Macadam Cowboy,macadam-cowboy,patrimoine_retro,2,1,L128,https://fr.web.img3.acsta.net/pictures/16/08/03/14/48/441582.jpg,auto (2 séances / 1 salles)
