artiste_id,nom,nom_normalise,genre_principal,genres_secondaires,url_photo,notes
A0300,Concert : musique et cinéma | bibliothèque,concert-musique-et-cinema-bibliotheque,musique_autre,,,auto (1 passages)
A0301,Wonder Brass Quartet,wonder-brass-quartet,jazz_blues,,,auto (3 passages)
A0302,Tolosa Trobadors,tolosa-trobadors,musiques_monde_trad,,,auto (1 passages)
A0303,Les Clefs de Saint-Pierre,les-clefs-de-saint-pierre,classique_lyrique,,,auto (1 passages)
A0304,Le Grand Hôtel,le-grand-hotel,humour_standup,,,auto (1 passages)
A0305,"Lisa Perrio, C'est compliqué je t'expliquerai",lisa-perrio-cest-complique-je-texpliquerai,humour_standup,,,auto (1 passages)
A0306,Les Monologues du Vagin,les-monologues-du-vagin,humour_standup,,,auto (1 passages)
A0307,Le Prénom,le-prenom,humour_standup,,,auto (1 passages)
A0308,Trop Parfaite !,trop-parfaite,humour_standup,,,auto (1 passages)
A0309,FAT FREDDY'S DROP,fat-freddys-drop,musique_autre,,,auto (1 passages)
A0310,Toc Toc,toc-toc,humour_standup,,,auto (1 passages)
A0311,Tarmo Peltokoski / Daniel Lozakovich,tarmo-peltokoski-daniel-lozakovich,classique_lyrique,,,auto (1 passages)
A0312,Pierre-Emmanuel Barré,pierre-emmanuel-barre,chanson_variete,,,auto (1 passages)
A0313,Lio Kuokman / Nelson Goerner,lio-kuokman-nelson-goerner,classique_lyrique,,,auto (1 passages)
A0314,CORNÉLIUS,cornelius,musique_autre,,,auto (1 passages)
A0315,Cercle de l’Harmonie,cercle-de-lharmonie,classique_lyrique,,,auto (1 passages)
A0316,Ben l'Oncle Soul,ben-loncle-soul,funk_soul_rnb,,,auto (2 passages)
A0317,READY FOR PROG FESTIVAL,ready-for-prog-festival,rock_metal_punk,,,auto (1 passages)
A0318,Comme John // Ring of Cash,comme-john-ring-of-cash,musique_autre,,,auto (1 passages)
A0319,Pierre et le Loup,pierre-et-le-loup,classique_lyrique,,,auto (2 passages)
A0320,Sage & Zaza,sage-zaza,musique_autre,,,auto (1 passages)
A0321,Symphonie Africaine,symphonie-africaine,musiques_monde_trad,,,auto (1 passages)
A0322,Stephan Eicher,stephan-eicher,chanson_variete,,,auto (2 passages)
A0323,Cocoon,cocoon,chanson_variete,,,auto (1 passages)
A0324,Concert Framboyán,concert-framboyan,cirque_arts_rue,,,auto (1 passages)
A0325,Chamber Orchestra of Europe,chamber-orchestra-of-europe,classique_lyrique,,,auto (1 passages)
A0326,Eva Ollikainen / Beatrice Rana,eva-ollikainen-beatrice-rana,classique_lyrique,,,auto (1 passages)
A0327,Alexander Soddy / Stefan Dohr,alexander-soddy-stefan-dohr,classique_lyrique,,,auto (1 passages)
A0328,Lang Lang,lang-lang,classique_lyrique,,,auto (1 passages)
A0329,Nikolaï Lugansky,nikolai-lugansky,classique_lyrique,,,auto (1 passages)
A0330,Concert étudiants,concert-etudiants,classique_lyrique,,,auto (1 passages)
A0331,Legrand enchanteur avec Nathalie Dessay,legrand-enchanteur-avec-nathalie-dessay,classique_lyrique,,,auto (1 passages)
A0332,Jean-François Zygel met en musique le canal du Midi,jean-francois-zygel-met-en-musique-le-canal-du-midi,classique_lyrique,,,auto (1 passages)
A0333,Let’s Swing Again!,lets-swing-again,jazz_blues,,,auto (2 passages)
A0334,Philippe Jaroussky,philippe-jaroussky,classique_lyrique,,,auto (1 passages)
A0335,Noël avec Britten,noel-avec-britten,classique_lyrique,,,auto (1 passages)
A0336,Chœur Accentus,ch-ur-accentus,classique_lyrique,,,auto (1 passages)
A0337,Riccardo Minasi / Nobuyuki Tsujii,riccardo-minasi-nobuyuki-tsujii,classique_lyrique,,,auto (1 passages)
A0338,Happy Hour avec le violon,happy-hour-avec-le-violon,classique_lyrique,,,auto (1 passages)
A0339,Barbara Hannigan / Bertrand Chamayou,barbara-hannigan-bertrand-chamayou,classique_lyrique,,,auto (1 passages)
