entity_id,kind,date,ville,lieu_nom,lieu_id,source_url,scope
F0005,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13457,toulouse
F0013,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13459,toulouse
F0276,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=14100,toulouse
F0048,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13955,toulouse
F0047,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13952,toulouse
F0022,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13949,toulouse
F0005,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13457,toulouse
F0018,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13474,toulouse
F0043,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13923,toulouse
F0045,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13956,toulouse
F0012,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13805,toulouse
F0025,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13808,toulouse
F0039,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13809,toulouse
F0036,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13475,toulouse
F0023,film,2026-09-17,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=11952,toulouse
F0300,film,2026-09-17,Toulouse,Le Cratère,L128,https://www.cinemalecratere.fr/evenements/fifigrot-2026,toulouse
F0070,film,2026-09-17,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.289867&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260917&perft=10:00&code=VO",toulouse
F0074,film,2026-09-17,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.282094&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260917&perft=12:05&code=VO",toulouse
F0061,film,2026-09-17,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.305836&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260917&perft=13:45&code=VO",toulouse
F0053,film,2026-09-17,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.316460&tags=Localization.Version.Original,Format.Projection.Digital&perfd=20260917&perft=15:30&code=VO",toulouse
F0224,film,2026-09-17,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.17&tags=Localization.Version.Original,Showtime.Event.Headline,Format.Projection.Digital&perfd=20260917&perft=17:45&code=VO; HEADLINE",toulouse
F0194,film,2026-09-17,Toulouse,Le Cratère,L128,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0056&gid_entity=movie.movie._.216951&tags=Localization.Version.Original,Showtime.Event.Headline,Format.Projection.Digital&perfd=20260917&perft=20:00&code=VO; HEADLINE",toulouse
F0253,film,2026-09-17,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
F0254,film,2026-09-17,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/projections/37264,toulouse
F0286,film,2026-09-17,Toulouse,Cinémathèque de Toulouse,L131,https://www.lacinemathequedetoulouse.com/programmation/agenda,toulouse
